tue,evt,vre,vre,ve
wiu,rt,bf,bfd,bfd
lady gaga,ffr,vr,vfr,vfr
er,re,re,re,re
ew,ew,e,ew,ew
fre,fre,fr,fre,fre
fe,fwe,few,few,fwe
fer,fr,fr,fr,fr
wer,we,fw,few,few
matue,raper,o maior,@tue,foto
teto,rap,o maior,@teto,foot
wiu,rap,o melhor,@wiu,foto
eu,rpap,erere,@eu,foto
wiu,rap,eve,@vffv,vdfvd
fefe,fefe,fe,fe,fe
evee,veve,b,
eve,ve,vr,btb
maluma,pop,vvvdf,vfdvd
anitta,pop,anira,@anitta
kayblack,rap,kay,@kayblack
vdvd,vdvd,vd,vd
verver,vebt,fs,v
vdvsd,ere,rere,rere
bbt,rfs,fes,eq
vdst,grht,bfd,bfd
gthh,vdvd,dss,nng
mmy,efww,bdbb,vfvd
cdsbyn,jjng,wdwr,mhj
bfd,re,eqw,csc
frfrtb,vdbd,feerg,vdvd
frfre,bbr,vf,cs
rev,fbb,dgb,fd
cjdid,vdvd,cd,cd
cc,cs,cs,cs
x,cee,vd,vss
ccsf,vds,vds,vds
vvfdsg,gdsgs,gdsgsd,bdfb
bfdbd,bwf,gf,fdng
 bdfbdfb,nfdn,bdf,bf
bdfbf,fbd,d,d
rrrr,bf,bf,bf
br,vfd,vdf,vd
vfv,bdf,bfd,bfd
bf,bdnt,ner,fw
bttv,vvcg,ewg,w
vsdvs,bbd,bfd,bfd
ddvfbf,dbdsv,dsvds,vds
bdf,nte,gw,fds
sadsa,v,vds,vds
bfs,ds,x,csa
grge,gfd,gds,fd
bffbf,bfdb,bfd,bfd
aaa,aa,a,a
a,a,a,a
z,z,z,z
z,z,z,z
z,z,z,z
z,z,z,z
z,z,z,z
aaa,aaa,aa,aa
a,a,a,a
fdfs,cxbcx,cx,cx
cscds,vds,vds,vds
csdsd,dbsbds,bds,bds
fsaf,ga,fas,fsa
a,a,a,a
dvvs,vds,vds,vsd
csd,cds,vds,vsd
csd,ds,cds,cds
csd,vds,vds,vsd
csd,vds,vds,vsd
dvsd,vds,vds,vsd
teto,rap,nordestino,@teto
cx,cx,cx,cx
cxz,cxz,cxz,cxz
vdsv,vds,vds,vsd
dvdsv,vds,vsd,vds
csdv,vds,vsd,vsd
csdv,vds,vds,vsd
vdvsv,vds,vds,vs
dsv,vds,vsd,vds
cs,vsd,vds,vds
vvs,vds,vds,vds
gabi a lenda,sertanejo,boiadeira,@gabi
vvs,vds,vds,vds
matue,trap,nordestino,@matue
teto,trap,veio da bahia,@teto
matue,trap,trapper nordestino,@matue
teto,trap,veio da bahia,@teto
vsdvds,vds,vds,vds
dsvds,vds,vds,vds
matue,trap,trapper nordestino,@matue
teto,trap,da bahia,@teto
vds,vds,vds,vds
matue,trap,nordestino,@matue
matue,trap,nordestino,@matue
kayblack,trap,paulista estourado,@realkayblack
matue,trap,nordestino,@matue
kayblack,trap,paulista,@realkayblack
